"550 CORD","Parachute cord, aka Para-Cord.  Refers to the specification for the tensile strength of the cord, which is 550 lbs. "
"ABU","Airman Battle Uniform.  "
"ACH","Advanced Combat Helmet, aka MICH. "
"ACOG","Advanced Combat Optical Gunsight.  Magnified optic aiming device manufactured by Trijicon."
"AFSOC","US Air Force Special Operations Command.  "
"AH-1","Cobra Attack helicopter. "
"AH-64","Apache Attack helicopter. "
"AICS","Accuracy International Chassis System.  A robust rifle stock that can accept a drop-in rifle action from Remington.  "
"ALICE","All-purpose Lightweight Individual Carrying Equipment.  Older US military issue equipment, best known for external frame rucksack. "
"ALL SPARK","Sacred object revered by Transformers and Decepticons alike, covered in Cybertronian runes.  aka, THE CUBE."
"AMAD","Israel Military Intelligence, and IDF agency.  "
"ANA","Afghan National Army. "
"ANP","Afghan National Police. "
"AOR1/AOR2","Area Of Responsibility 1 (Desert) / 2 (Woodland).  Camouflage pattern formerly issued only to specific US SOF units, aka NWU II/NWU III. "
"AOW","Any Other Weapon.  An ATF term used to describe weapons that do not fall into standard categories such as "Rifle" or "Machine Gun". "
"APERTURE","Aiming hole in rear sight through which the shooter centers their front sight.  "
"API","Armor Piercing Incendiary.  See also RAUFOSS."
"AQI","Abbreviation for Al Qaeda in Iraq. "
"AR-15","Commercial variant of US military rifle, manufactured by various companies.  Registered trademark of Colt. "
"ATE UP","Slang for Not Good. "
"ATPIAL","Advanced Target Pointer/Illuminator/Aiming Light, aka AN/PEQ-15"
"AUC / ACU","AUC / ACU: Army Universal Camouflage /Army Combat Uniform.  The former is a digital pattern that is used on the latter. "
"BALCS","Body Armor Load Carriage System, aka SPEAR BALCS.  Soft ballistic armor inserts used in FSBE, and standard issue for US SOF assets."
"BALS","Ballistic Adjustment Leveling Systems, LLC. Manufacturer of stock-mounted and integral bean bags for precision marksmanship.  "
"BANG","Slang for Flashbang grenade, or NFDD. "
"BATT BOY","Slang for a long-time member of the Ranger Battalions. "
"BDM","Bottom Detachable Metal.  Sniper community term referring specifically to the magazine housing and trigger guard area on precision rifle that is made to accept detachable magazines, such as the AI magazine. "
"BEAR JEW","Infamous hero of World War II, Sgt. Donny Donowitz of Boston Massachusetts. Known for his brutal execution of Nazi prisoners with a baseball bat, and his participation in the assassination of Adolf Hitler. "
"BLUE FALCON","Slang for Buddy Fucker. "
"BLUE THUNDER","Helicopter used by Law Enforcement that can run in "silent mode" to elude detection from street criminals, and can utilize a variety of observational technologies (CCTV, IR, Thermal) to record illicit activities. "
"BOB","Bug Out Bag"
"BOHICA","Bend Over Here It Comes Again"
"BUIS","BUIS:  Back Up Iron Sight, usually in either fixed or folding configurations that can be added or removed on a host firearm."
"BULLPUP","Design of rifle where action is behind fire-control group (trigger, grip, safeties) for a reduced compact profile.  Examples of a BULLPUP rifle include: Steyr AUG, SA-80, Tavor, FN-2000, FN P90, Bushmaster M-17S. "
"CADPAT","Canadian Disruptive Pattern.  The camouflage used by the Canadian military, available in TW (Temperate Woodland) and AR (Arid Region) variants. "
"CAG","Combat Applications Group, aka 1st SFOD-D and Delta Force.  The primary counter-terror unit for the United States. "
"CANDY","Slang for Ibuprofin, Acetominifin, Aspirin, etc...  aka, Ranger Candy. "
"CANSOF","Canadian Special Operation Forces"
"CAS","Close Air Support"
"CAT","Counter Assault Team.  Special unit of the US Secret Service. "
"CCO","US military designation of red dot aiming device, manufactured by Aimpoint.  See also M68."
"CCT","Combat Control Team.  Special unit of the US Air Force, part of STS.  Also abbreviation for Combat Controller.  Tasked with coordination and control of forward air space, and often attached to Special Operation units with Direct Action missions.   "
"CCW","Concealed Carry Weapon"
"CIB","Combat Infantryman's Badge"
"CIRAS","Combat Integrated Releasable Armor System by Eagle Industries."
"CLP","Cleaner, Lubricant, Preservative, a weapons fluid meeting Military Specification MIL-L-63460"
"CLS","Combat Life Saver.  US Army combat trauma course. "
"COBRA","Terrorist organization that reached its operational peak in the 1980's.  Chief adversary to members of G.I. Joe. "
"CONUS","Continental United States"
"CORDURA","Nylon fabric used in the manufacture of tactical nylon gear.  Registered trademark of DuPont.  See also DENIER. "
"COTS","Commercial Off The Shelf"
"CQB / CQC","Close Quarters Battle / Close Quarters Combat. "
"CQC","Usually stands for Close Quarter Combat. However, CQC stands for Close Quarter Concealment in the case of the BlackHawk SERPA CQC Holster."
"CYBERDYNE SYSTEMS","Corporation specializing in humanoid robotics and artificial intelligence that was responsible for the destruction of humankind, and the perpetuation of the enslavement of humans.  "
"CYLON","Cybernetic civilization at war with the 12 Colonies of humanity.  Variants include metallic Centurions to hot humanoid CILFs. "
"DA","Direct Action"
"DAP","Direct Action Penetrator.  A Blackhawk Helicopter (MH-60L/AH-60) that has been modified for a gunship mission that is identifiable by it's large pylon wings and heavy armament to include 2.75 Rockets, Hellfire Missiles and 30mm Chain Guns.  "
"DARPA","Defense Advanced Research Projects Agency.  A US DoD agency responsible for development of new military technologies. "
"DELTA","Short for Delta Force, aka 1st SFOD-D and CAG. The primary counter-terror unit for the United States.  "
"DEMO","Slang for Demolition or explosives."
"DENIER","A unit of measure for the linear mass density of fibers.  Commonly seen to as 330, 500 or 1000 Denier (or "D") reference Cordura fabric, manufactured by DuPont. "
"DETCORD","Thin cord with explosive (usually PETN) core, used as high-speed fuse for detonating explosives or as primary explosive in tactical breaching charges. "
"DEVGRU","US Naval Special Warfare Development Group.  A US Navy special operations counter-terror unit, aka Seal Team Six (ST6)."
"DHARMA","A human social experiment on a deserted island begun in the 1970's by the CIA in conjunction with Extra-terrestrials, and responsible for countless hours of otherwise productive life wasted on a stupid TV series.  "
"DSS","Diplomatic Security Service.  The federal law enforcement arm of the US State Department."
"DT","Defensive Tactics.  Used commonly in Law Enforcement to refer to training in hand-to-hand combatives techniques.  "
"DURO","Duro Textiles, LLC.  Exclusive licensed US manufacturer of MultiCam and AOR pattern fabrics.  "
"DYNEEMA","Laminate ballistic material used in Body Armor.  Registered Trademark of Royal DSM.  Nearly identical in chemical composition and performance properties to SPECTRA. "
"E-SAPI","Enhanced Small Arms Protective Inserts"
"ECWCS","Extended Cold Weather Clothing System.  Developed in 1980's by US Army. "
"EDC","Every Day Carry"
"EDP","Emotional Disturbed Person"
"EFP","Explosively Formed Penetrator.  Specialized IED that "
"ELINT","Electronic Intelligence.  See also SIGINT."
"EM-50","EM-50 Urban Assault Vehicle, US Army Top Secret project.  Used in 1981 for clandestine mission in Europe during the height of the cold war.  "
"EMP","Electro-Magnetic Pulse. "
"EOD","Explosive Ordnance Disposal"
"FAM","Federal Air Marshal"
"FAST ROPE","Braided rope typically used for rapid insertion of military personnel from helicopters. "
"FB","Fort Bragg, a designation for pouch designs by Eagle Industries that were made for units at Ft. Bragg. "FB" now refers more to the kydex insert found in Eagle gear."
"FIREFOX","Top secret USSR Fighter/Bomber/Surveillance airplane that was stolen from deep within the Soviet Union in 1982 on a top secret mission, that eventually helped lead to the downfall of the Soviet Empire. "
"FLIR","Foward Looking Infra-Red."
"FOB","Forward Operating Base. "
"FORCE","Slang for Force Reconnaissance, a special operations capable USMC unit.  Also, reference "THE FORCE", the secret power within as revealed to us weekly by Oprah.  "
"FR","Fire Resistant, commonly used in reference to clothing or protective equipment requirements. "
